"model","scenario","ensemble","year","variable","value"
"ACCESS-CM2","ssp126","r1i1p1f1",1917,"sst",-0.116268700980392
"ACCESS-CM2","ssp126","r1i1p1f1",1917,"land_tas",-0.467389411764714
"ACCESS-CM2","ssp126","r1i1p1f1",1918,"global_tas",-0.0658687537164724
"ACCESS-CM2","ssp126","r1i1p1f1",1918,"sst",-0.0147926176470604
"ACCESS-CM2","ssp126","r1i1p1f1",1918,"land_tas",-0.0129594117647116
"ACCESS-CM2","ssp126","r1i1p1f1",1919,"global_tas",-0.0906267824786937
"ACCESS-CM2","ssp126","r1i1p1f1",1919,"sst",-0.044293034313725
"ACCESS-CM2","ssp126","r1i1p1f1",1919,"land_tas",-0.115919411764708
"ACCESS-CM2","ssp126","r1i1p1f1",1920,"global_tas",-0.1479950234189
"ACCESS-CM2","ssp126","r1i1p1f1",1920,"sst",-0.08196461764706
"ACCESS-CM2","ssp126","r1i1p1f1",1920,"land_tas",-0.223219411764717
"ACCESS-CM2","ssp126","r1i1p1f1",1921,"global_tas",-0.155591645769221
"ACCESS-CM2","ssp126","r1i1p1f1",1921,"sst",-0.067988034313725
"ACCESS-CM2","ssp126","r1i1p1f1",1921,"land_tas",-0.244659411764758
"ACCESS-CM2","ssp126","r1i1p1f1",1922,"global_tas",-0.248719245752113
"ACCESS-CM2","ssp126","r1i1p1f1",1922,"sst",-0.127298034313725
"ACCESS-CM2","ssp126","r1i1p1f1",1922,"land_tas",-0.422499411764704
"ACCESS-CM2","ssp126","r1i1p1f1",1923,"global_tas",-0.0702170924983534
"ACCESS-CM2","ssp126","r1i1p1f1",1923,"sst",-0.053306534313727
"ACCESS-CM2","ssp126","r1i1p1f1",1923,"land_tas",-0.057629411764708
"ACCESS-CM2","ssp126","r1i1p1f1",1924,"global_tas",-0.0253691742390174
"ACCESS-CM2","ssp126","r1i1p1f1",1924,"sst",-0.00530445098039313
"ACCESS-CM2","ssp126","r1i1p1f1",1924,"land_tas",-0.0833594117647181
"ACCESS-CM2","ssp126","r1i1p1f1",1925,"global_tas",0.0204160672878402
"ACCESS-CM2","ssp126","r1i1p1f1",1925,"sst",-0.016415950980391
"ACCESS-CM2","ssp126","r1i1p1f1",1925,"land_tas",0.0414905882352627
"ACCESS-CM2","ssp126","r1i1p1f1",1926,"global_tas",-0.0721117421548456
"ACCESS-CM2","ssp126","r1i1p1f1",1926,"sst",-0.038095284313726
"ACCESS-CM2","ssp126","r1i1p1f1",1926,"land_tas",-0.140659411764716
"ACCESS-CM2","ssp126","r1i1p1f1",1927,"global_tas",0.09428021938038
"ACCESS-CM2","ssp126","r1i1p1f1",1927,"sst",0.0442928823529415
"ACCESS-CM2","ssp126","r1i1p1f1",1927,"land_tas",0.0698705882352897
"ACCESS-CM2","ssp126","r1i1p1f1",1928,"global_tas",0.0435713083368228
"ACCESS-CM2","ssp126","r1i1p1f1",1928,"sst",0.0817570490196077
"ACCESS-CM2","ssp126","r1i1p1f1",1928,"land_tas",-0.0974594117647598
"ACCESS-CM2","ssp126","r1i1p1f1",1929,"global_tas",0.133163397597059
"ACCESS-CM2","ssp126","r1i1p1f1",1929,"sst",0.158672465686273
"ACCESS-CM2","ssp126","r1i1p1f1",1929,"land_tas",0.0202805882352664
"ACCESS-CM2","ssp126","r1i1p1f1",1930,"global_tas",0.0334292021070723
"ACCESS-CM2","ssp126","r1i1p1f1",1930,"sst",0.019544799019606
"ACCESS-CM2","ssp126","r1i1p1f1",1930,"land_tas",-0.0373394117647194
"ACCESS-CM2","ssp126","r1i1p1f1",1931,"global_tas",-0.0490663673917311
"ACCESS-CM2","ssp126","r1i1p1f1",1931,"sst",-0.00447961764706042
"ACCESS-CM2","ssp126","r1i1p1f1",1931,"land_tas",-0.330659411764714
"ACCESS-CM2","ssp126","r1i1p1f1",1932,"global_tas",0.110636905401066
"ACCESS-CM2","ssp126","r1i1p1f1",1932,"sst",0.0668780490196072
"ACCESS-CM2","ssp126","r1i1p1f1",1932,"land_tas",0.107410588235268
"ACCESS-CM2","ssp126","r1i1p1f1",1933,"global_tas",0.167354609590802
"ACCESS-CM2","ssp126","r1i1p1f1",1933,"sst",0.129083132352943
"ACCESS-CM2","ssp126","r1i1p1f1",1933,"land_tas",0.0656405882352828
"ACCESS-CM2","ssp126","r1i1p1f1",1934,"global_tas",0.375548205119571
"ACCESS-CM2","ssp126","r1i1p1f1",1934,"sst",0.230008882352941
"ACCESS-CM2","ssp126","r1i1p1f1",1934,"land_tas",0.490840588235244
"ACCESS-CM2","ssp126","r1i1p1f1",1935,"global_tas",0.256731396259852
"ACCESS-CM2","ssp126","r1i1p1f1",1935,"sst",0.186237382352943
"ACCESS-CM2","ssp126","r1i1p1f1",1935,"land_tas",0.23122058823526
"ACCESS-CM2","ssp126","r1i1p1f1",1936,"global_tas",0.285103307073484
"ACCESS-CM2","ssp126","r1i1p1f1",1936,"sst",0.210546715686274
"ACCESS-CM2","ssp126","r1i1p1f1",1936,"land_tas",0.248490588235256
"ACCESS-CM2","ssp126","r1i1p1f1",1937,"global_tas",0.0926479296046523
"ACCESS-CM2","ssp126","r1i1p1f1",1937,"sst",0.0611907156862729
"ACCESS-CM2","ssp126","r1i1p1f1",1937,"land_tas",-0.0142594117647263
"ACCESS-CM2","ssp126","r1i1p1f1",1938,"global_tas",0.150347166002973
"ACCESS-CM2","ssp126","r1i1p1f1",1938,"sst",0.15428613235294
"ACCESS-CM2","ssp126","r1i1p1f1",1938,"land_tas",0.0352605882352464
"ACCESS-CM2","ssp126","r1i1p1f1",1939,"global_tas",0.209469385410557
"ACCESS-CM2","ssp126","r1i1p1f1",1939,"sst",0.187569299019607
"ACCESS-CM2","ssp126","r1i1p1f1",1939,"land_tas",0.22316058823526
